Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting of defense companies in Israel and the Middle East,8/14/2020,Lazarus Group,Responsible for using social engineering and lofty job postings to coax employees into downloading malware that ultimately stole classified data.,,Defense companies,Korea (Democratic People's Republic of),Espionage,"Government, Private sector",https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,,
"Targeting of companies in the United States, Israel, Saudi Arabia, and elsewhere",2/16/2020,"APT 34, possibly APT 33/APT 39.","The Iranian threat actors targeted dozens of companies in the United States, Israel, Saudi Arabia, and elsewhere. They exploited VPNs for initial access and breached additional companies via supply chain attacks.",,Private companies in numerous countries,Iran (Islamic Republic of),Espionage,Private sector,https://www.clearskysec.com/wp-content/uploads/2020/02/ClearSky-Fox-Kitten-Campaign.pdf,,
Targeting of Poland’s War Studies University,4/23/2020,Russia,"Hackers breached Poland’s War Studies University’s website and posted a fake letter from the university’s commander, urging Polish soldiers “to fight against the American occupation.”",Denouncement   https://www.gov.pl/web/sluzby-specjalne/atak-dezinformacyjny-na-polske,Poland’s War Studies University,Russian Federation,Defacement,"Government, Military",https://www.cyberscoop.com/poland-cyberattack-russia-us-military/,https://www.gov.pl/web/sluzby-specjalne/atak-dezinformacyjny-na-polske,
Targeting of Iranian expats and dissidents,9/18/2020,Pioneer Kitten,"Iranian hackers stole personal documents and two-factor authentication codes from SMS messages, recorded phones’ surroundings, and used Telegram phishing accounts to target Iranian expats and dissidents.",,Iranian expats and dissidents,Iran (Islamic Republic of),Espionage,Civil society,https://research.checkpoint.com/2020/rampant-kitten-an-iranian-espionage-campaign/,https://www.crowdstrike.com/blog/who-is-pioneer-kitten/,
Compromise of Bapco,1/8/2020,APT 34,"The Iranian state-backed hackers installed malware on the network of Bapco, Bahrain’s national oil producer. The malware, called Dustman, used a wiper functionality, but experts suspect this could have been meant to erase itself after being discovered.",,Bapco,Iran (Islamic Republic of),Espionage,Private sector,https://www.zdnet.com/article/new-iranian-data-wiper-malware-hits-bapco-bahrains-national-oil-company/,https://www.cyberscoop.com/saudi-arabia-iran-cyberattack-soleimani/,
Storm Cloud,3/31/2020,NOTE: Some Moonlight Maze tooling has also been referred to as “Storm Cloud.” There is no known connection.,Performed highly targeted watering-hole attacks on visitors to Tibetan websites.,,,China,,,https://www.volexity.com/blog/2020/03/31/storm-cloud-unleashed-tibetan-community-focus-of-highly-targeted-fake-flash-campaign/,https://securelist.com/holy-water-ongoing-targeted-water-holing-attack-in-asia/96311/,
Targeting of Vatican City computer networks,7/28/2020,RedDelta,"Hackers conducted an espionage campaign against Vatican City beginning in May 2020. In one instance, embedded malware was sent using the email of the Vatican Secretary of State. Hackers were likely trying to gain information on the Vatican’s negotiating position prior to high-level talks between the Catholic Church and Beijing in September 2020 regarding a provisional agreement concerning the appointment of Catholic bishops in China. ",Unknown   https://www.ynet.co.il/article/rJrCqmAkw,"Vatican City, Pontifical Institute for Foreign Missions, Hong Kong Study Mission to China",China,,"Government, Civil society",https://www.nytimes.com/2020/07/28/us/politics/china-vatican-hack.html,https://www.recordedfuture.com/reddelta-targets-catholic-organizations/,https://go.recordedfuture.com/hubfs/reports/cta-2020-0728.pdf
"Targeting of Japan, Russia, and South Korean entities",3/5/2020,Tonto Team,"The Chinese government–aligned APT Tonto Team used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",,"Japanese, Russian, and South Korean civil society, private sector, and government entities.",China,Espionage,"Civil society, Private sector, Government",https://blog.talosintelligence.com/2020/03/bisonal-10-years-of-play.html,https://malpedia.caad.fkie.fraunhofer.de/actor/tonto_team,https://www.fireeye.com/content/dam/fireeye-www/summit/cds-2019/presentations/cds19-executive-s08-achievement-unlocked.pdf
Operations against actors targeting Australians during COVID-19 pandemic,4/6/2020,Australian Signals Directorate,The Australian government launched cyberattacks disabling infrastructure used by foreign-based cybercriminals targeting Australians during the coronavirus pandemic.,,Infrastructure used by foreign-based cybercriminals,Australia,Data destruction,Private sector,https://www.cisomag.com/how-the-australian-government-is-fighting-the-war-against-covid-19-scammers/,https://www.minister.defence.gov.au/minister/lreynolds/media-releases/offensive-against-covid-19-cyber-criminals,https://www.zdnet.com/article/australia-on-the-cyber-offence-to-bring-down-covid-19-scammers/
BlackTech,8/19/2020,,"Responsible for targeting governments in Asia, particularly in Taiwan but also in Hong Kong and Japan. They used Taidoor malware to steal information from Taiwanese government agencies and official email accounts.",,Taiwanese government agencies and email accounts,China,Espionage,Government,https://www.reuters.com/article/us-taiwan-cyber-china/taiwan-says-china-behind-cyberattacks-on-government-agencies-emails-idUSKCN25F0JK,https://malpedia.caad.fkie.fraunhofer.de/actor/blacktech,
Targeting of U.S. grid,1/9/2020,APT 33,"The Iranian hackers APT 33 targeted the U.S. electric grid with password-spraying attacks, likely in an attempt to gain access. They targeted only the IT side of networks so far and have not proven their ability to access physical systems.",,The U.S. electrical grid,Iran (Islamic Republic of),Espionage,Private sector,https://www.wired.com/story/iran-apt33-us-electric-grid/,https://dragos.com/resource/north-american-electric-cyber-threat-perspective/,
Targeting of Central European aerospace and defense companies,6/17/2020,Believed to be Lazarus Group,"Hackers impersonated recruiters from Collins Aerospace and General Dynamics to lure in employees with enticing job offers, subsequently tricking them into opening malicious files sent via LinkedIn’s private messaging app.",,European aerospace and defense firms,Korea (Democratic People's Republic of),Espionage,Private sector,https://www.eset.com/us/about/newsroom/press-releases/operation-interception-starting-with-a-linkedin-message-threat-actors-went-after-both-secret-inf/,,
Targeting of U.S. government agency networks,11/14/2020,Believed to be the work of the Chinese government. ,Chinese hackers scanned networks in search of virtual private network (VPN) and email server vulnerabilities with the aim of exfiltrating data.,Confirmation   https://us-cert.cisa.gov/ncas/alerts/aa20-258a,U.S. government networks,China,Espionage,Government,https://us-cert.cisa.gov/ncas/alerts/aa20-258a,,
Stolen data on nearly two thousand Mitsubishi employees,1/20/2020,Bronze Butler,"The China-linked Bronze Butler threat actor is suspected to have used a zero-day in Trend Micro antivirus to attack Mitsubishi Electric and steal data on thousands of employees. In May 2020, it was disclosed that the breach resulted in the theft of specifications for a hypersonic missile that Japan had been developing to protect disputed territory in the East China Sea.",,Mitsubishi Electric employees,China,Espionage,Private sector,https://www.zdnet.com/article/trend-micro-antivirus-zero-day-used-in-mitsubishi-electric-hack/,https://www.bleepingcomputer.com/news/security/mitsubishi-electric-warns-of-data-leak-after-security-breach/,https://www.cyberscoop.com/mitsubishi-japan-missile-data-breach/
Targeting of Tibetans via watering-hole attacks,3/31/2020,Storm Cloud,The Chinese hackers Storm Cloud performed highly targeted watering-hole attacks on visitors to a few Tibetan websites and tried to make them install fake versions of Adobe Flash.,,Tibetans,China,,,https://www.volexity.com/blog/2020/03/31/storm-cloud-unleashed-tibetan-community-focus-of-highly-targeted-fake-flash-campaign/,https://securelist.com/holy-water-ongoing-targeted-water-holing-attack-in-asia/96311/,
Targeting of Western entities involved in COVID-19 vaccine development,7/21/2020,Guangdong State Security Department (GSSD) of China’s Ministry of State Security (MSS),"Hackers conducted a combination of financially motivated and espionage-driven hacking operations against hundreds of companies, organizations, and research firms based in the United States and other countries, stealing terabytes of information.",Criminal charges   https://www.politico.com/f/?id=00000173-76e6-d36e-abff-7ffe63dc0000,"Private Companies, Governments, Nongovernmental Organizations, Individual Dissidents, Clergy, Democratic and Human Rights Activists",China,Espionage,"Private sector, Government, Civil society",https://www.politico.com/news/2020/07/21/doj-chinese-hackers-coronavirus-research-375855,https://www.politico.com/f/?id=00000173-76e6-d36e-abff-7ffe63dc0000,https://www.justice.gov/opa/pr/two-chinese-hackers-working-ministry-state-security-charged-global-computer-intrusion
Tonto Team,3/5/2020,,"Chinese government-aligned APT that used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",,"Japan, Russian Federation, Republic of Korea",China,,,https://blog.talosintelligence.com/2020/03/bisonal-10-years-of-play.html,https://malpedia.caad.fkie.fraunhofer.de/actor/tonto_team,https://www.fireeye.com/content/dam/fireeye-www/summit/cds-2019/presentations/cds19-executive-s08-achievement-unlocked.pdf
Targeting of COVID-19 research organizations,5/13/2020,Chinese government,"Cyber actors affiliated with the Chinese government attempted to identify and illicitly obtain intellectual property and public health data related to vaccines, treatments, and testing from networks and personnel associated with COVID-19–related research.",,COVID-19 Research Organizations,China,Espionage,"Private sector, Government",https://www.cisa.gov/sites/default/files/publications/Joint_FBI-CISA_PSA_PRC_Targeting_of_COVID-19_Research_Organizations_S508C.pdf.pdf,https://www.bbc.com/news/world-us-canada-52656656,
Targeting of Taiwanese government agencies and officials’ email accounts,8/19/2020,BlackTech,"Hackers exploited vulnerabilities in at least four Taiwanese tech companies that provided information technology services to the government using the Taidoor malware, allowing them far-reaching access to official systems and accounts since at least 2018.",Confirmation   https://www.reuters.com/article/us-taiwan-cyber-china/taiwan-says-china-behind-cyberattacks-on-government-agencies-emails-idUSKCN25F0JK,Taiwanese government agencies and officials’ email accounts,China,Espionage,Government,https://www.reuters.com/article/us-taiwan-cyber-china/taiwan-says-china-behind-cyberattacks-on-government-agencies-emails-idUSKCN25F0JK,https://www.scmp.com/news/china/diplomacy/article/3098012/mainland-chinese-hackers-attacked-government-agencies-steal,
Vicious Panda,3/12/2020,,Conducted coronavirus-related phishing campaign against targets in the Mongolian government.,,Mongolia,China,,,https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/,,
Targeting of air transportation and government agencies in Kuwait and Saudi Arabia,5/25/2020,Chafer ,"Dating back to 2018, hackers conducted espionage campaigns against air transportation and government agencies in Kuwait and Saudi Arabia.",,Air transportation and government agencies in Kuwait and Saudi Arabia,Iran (Islamic Republic of),,"Private sector, Government",https://www.bitdefender.com/files/News/CaseStudies/study/332/Bitdefender-Whitepaper-Chafer-creat4491-en-EN-interactive.pdf,,
"Targeting of U.S. information technology, government, health-care, finance, and media industries",9/15/2020,Pioneer Kitten,Iranian hackers scanned U.S. government and private networks for virtual private network (VPN) and cloud computing vulnerabilities with the aim of exfiltrating data.,Confirmation   https://us-cert.cisa.gov/ncas/alerts/aa20-259a,U.S. government and private companies,Iran (Islamic Republic of),,"Government, Private sector",https://us-cert.cisa.gov/ncas/alerts/aa20-259a,,
Spyware sent to Jeff Bezos on WhatsApp,1/21/2020,Government of Saudi Arabia,"An account belonging to Prince Mohammed bin Salman sent Jeff Bezos spyware masquerading as a video over WhatsApp, which allowed Saudi Arabia to surveil Bezos’ phone from May 2018 until February 2019. The attack could have been related to Bezos’ ownership of the Washington Post, whose columnist Jamal Khashoggi was allegedly killed on bin Salman’s orders.",,Jeff Bezos,,Espionage,"Private sector, Civil society",https://www.nytimes.com/2020/01/22/world/middleeast/bezos-phone-hacked.html,https://www.npr.org/2020/01/24/799358557/behind-the-suspected-saudi-arabian-hacking-of-jeff-bezos-phone,https://www.ohchr.org/EN/NewsEvents/Pages/DisplayNews.aspx?NewsID=25488&LangID=E
Targeting of World Health Organization (WHO) Staff Emails,4/2/2020,Iranian government,"Hackers sent phishing emails masquerading as Google web services to WHO employees, attempting to gain access to internal information.",,World Health Organization (WHO),Iran (Islamic Republic of),Espionage,,https://www.reuters.com/article/us-health-coronavirus-cyber-iran-exclusi/exclusive-hackers-linked-to-iran-target-who-staff-emails-during-coronavirus-sources-idUSKBN21K1RC,,
RedDelta,7/28/2020,,Believed to be responsible for conducting an espionage campaign against Vatican City and its subsidiary organization in China.,,"Vatican networks, Vatican officials, Hong Kong Study Mission to China, Pontifical Institute for Foreign Missions (PIME)",China,Espionage,"Government, Civil society",https://www.recordedfuture.com/reddelta-targets-catholic-organizations/,https://go.recordedfuture.com/hubfs/reports/cta-2020-0728.pdf,
Watering-hole attacks targeting Armenian government websites,3/12/2020,Turla,"The Russian threat actor Turla compromised four Armenian websites, two belonging to the government and two closely related, to use in a strategic web compromise/watering-hole attack.",,Likely Armenian government officials,Russian Federation,Espionage,"Government, Civil society",https://www.welivesecurity.com/2020/03/12/tracking-turla-new-backdoor-armenian-watering-holes/,,
Targeting of companies in Central Asia,5/14/2020,Vicious Panda,"A group using tools similar to Chinese government–affiliated group Vicious Panda targeted high-profile companies in Central Asia and planting backdoors to gain access to corporate networks. The group is also believed to be behind cyberattacks in Belarus, Mongolia, and Russia.",,Central Asian Businesses,China,Espionage,"Private sector, Government",https://decoded.avast.io/luigicamastra/apt-group-planted-backdoors-targeting-high-profile-networks-in-central-asia/,,
Targeting of automated teller machines worldwide,8/26/2020,Lazarus Group,Hackers affiliated with the Lazarus Group targeted automated teller machines (ATMs) by manipulating transaction-processing software to initiate fraudulent cash-outs.,,"Argentina, Brazil, Bangladesh, Bosnia and Herzegovina, Bulgaria, Chile, Costa Rica, Ecuador, Ghana, India, Indonesia, Japan, Jordan, Kenya, Kuwait, Malaysia, Malta, Mexico, Mozambique, Nepal, Nicaragua, Nigeria, Parkistan, Panama, Peru, Philippines, Singapore, South Africa, South Korea, Spain, Taiwan, Tanzania, Togo, Turkey, Uganda, Uruguay, Vietnam, Zambia",Korea (Democratic People's Republic of),Financial Theft,Private sector,https://us-cert.cisa.gov/ncas/alerts/aa20-239a,https://www.cyberscoop.com/north-korea-atm-cashout-hacking-fbi-dhs-treasury-dod/,https://www.darkreading.com/threat-intelligence/new-threat-activity-by-lazarus-group-spells-trouble-for-orgs/d/d-id/1338812
Targeting of the Mongolian government using coronavirus-related lures,3/12/2020,Vicious Panda,The suspected Chinese threat actor Vicious Panda conducted a coronavirus-related phishing campaign against targets in the Mongolian government.,,Government of Mongolia,China,Espionage,Government,https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/,https://www.zdnet.com/article/state-sponsored-hackers-are-now-using-coronavirus-lures-to-infect-their-targets/,
Targeting of German critical infrastructure owners,5/26/2020,Crouching Yeti,Hackers used supply chain vulnerabilities to access German critical infrastructure companies’ information technology (IT) systems.,Confirmation   https://www.cyberscoop.com/german-intelligence-memo-berserk-bear-critical-infrastructure/,German critical infrastructure,Russian Federation,Espionage,Private sector,https://www.cyberscoop.com/german-intelligence-memo-berserk-bear-critical-infrastructure/,,
Targeting of Azerbaijani government networks,9/22/2020,APT 28,"Responsible for disguising Zebrocy malware, which creates a persistent backdoor, as North Atlantic Treaty Organization (NATO) training materials. Azerbaijan, which cooperates with NATO, is a suspected target.",,Azerbaijani government networks,Russian Federation,Espionage,Government,https://www.secrss.com/articles/24798,https://quointelligence.eu/2020/09/apt28-zebrocy-malware-campaign-nato-theme/,
Wide-ranging attacks on government organizations and companies across the Middle East and Europe,1/27/2020,Government of Turkey,"The Turkish hackers attacked at least thirty organizations across the Middle East and Europe, including Cypriot and Greek government email services and the Iraqi government’s national security advisor. Their methods include intercepting internet traffic to victim websites.",,Government organizations and companies across the Middle East and Europe,Turkey,Espionage,"Government, Private sector, Civil society",https://www.reuters.com/article/us-cyber-attack-hijack-exclusive/exclusive-hackers-acting-in-turkeys-interests-believed-to-be-behind-recent-cyberattacks-sources-idUSKBN1ZQ10X,,
Targeting of Wuhan government and China’s Ministry of Emergency Management,4/22/2020,Ocean Lotus,Vietnamese hackers sent spear-phishing messages to the Wuhan government and China’s Ministry of Emergency Management.,,"Wuhan government, Chinese Ministry of Emergency Management",Vietnam,Espionage,Government,https://www.fireeye.com/blog/threat-research/2020/04/apt32-targeting-chinese-government-in-covid-19-related-espionage.html,https://www.cyberscoop.com/vietnam-coronavirus-china-apt32-fireeye/,
Ghostwriter,7/29/2020,,Believed to be responsible for conducting a hacking and information operations campaign in Eastern Europe. Hackers compromised websites and email accounts and used them to publish fabricated documents pushing anti–North Atlantic Treaty Organization (NATO) narratives. They then donned fake personas of local officials to promote the fabricated documents on social media.,,Websites and NATO-affiliated officials,Russian Federation,,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2020/07/ghostwriter-influence-campaign.html,https://www.fireeye.com/content/dam/fireeye-www/blog/pdfs/Ghostwriter-Influence-Campaign.pdf,
APT 36,3/16/2020,"Also known as Mythic Leopard, Transparent Tribe, TMP.Lapis, ProjectM, C-Major.",Pakistani government-aligned threat actor that has used fake coronavirus health information to phish targets.,,India,Pakistan,,,https://malpedia.caad.fkie.fraunhofer.de/actor/operation_c-major,https://blog.malwarebytes.com/threat-analysis/2020/03/apt36-jumps-on-the-coronavirus-bandwagon-delivers-crimson-rat/,
Disruption of operations at Shahid Rajaee Port,5/19/2020,Israel,"Israel retaliated against Iran for targeting of Israeli water treatment and sewage facilities by launching a cyberattack against Iran’s Shahid Rajaee Port, disrupting its operations.",Confirmation   https://www.jpost.com/breaking-news/cyber-attack-targets-iranian-port-near-strait-of-hormuz-627616,Shahid Rajaee Port in Iran,Israel,Sabotage,Private sector,https://www.timesofisrael.com/cyberattack-on-port-suggests-israeli-tit-for-tat-strategy-shows-iran-vulnerable/,https://www.aljazeera.com/news/2020/05/israel-cyberattack-caused-total-disarray-iran-port-report-200519163117789.html,https://www.washingtonpost.com/national-security/officials-israel-linked-to-a-disruptive-cyberattack-on-iranian-port-facility/2020/05/18/9d1da866-9942-11ea-89fd-28fb313d1886_story.html
Targeting of U.S. defense contractors,8/19/2020,Lazarus Group,North Korean hackers used fake job postings from leading U.S. defense contractors on LinkedIn to install malicious data-gathering software when clicked.,,U.S. defense contractors,Korea (Democratic People's Republic of),Espionage,Government,https://us-cert.cisa.gov/ncas/analysis-reports/ar20-232a,https://www.cyberscoop.com/north-korean-government-malware-hacking-fake-job-fbi-dhs/,
Targeting of Ukraine with coronavirus phishing emails,3/13/2020,APT 28,"The Russian hackers Hades (aka APT 28) targeted Ukraine with coronavirus-themed phishing emails. At the same time, viral disinformation about the virus spread in Ukraine, causing riots.",,Ukrainian citizens,Russian Federation,Espionage,Civil society,https://www.zdnet.com/article/state-sponsored-hackers-are-now-using-coronavirus-lures-to-infect-their-targets/,https://twitter.com/RedDrip7/status/1230683740508000256,
Targeting of email servers using Exim mail transfer agent,5/28/2020,Sandworm,"Hackers from Sandworm exploited a zero-day vulnerability in Exim mail transfer agent software, which runs on email servers around the world, granting them the ability to remotely execute commands on the compromised servers.",Denouncement   https://www.nsa.gov/News-Features/News-Stories/Article-View/Article/2196511/exim-mail-transfer-agent-actively-exploited-by-russian-gru-cyber-actors/,Exim mail server users,Russian Federation,Espionage,"Private sector, Government, Military, Civil society",https://www.nsa.gov/News-Features/News-Stories/Article-View/Article/2196511/exim-mail-transfer-agent-actively-exploited-by-russian-gru-cyber-actors/,https://www.wired.com/story/nsa-sandworm-exim-mail-server-warning/,
Penetration of unnamed U.S. federal agency,9/24/2020,APT 28,Russian hackers used compromised credentials to install malware and ultimately steal files from unnamed U.S. government agency computers.,Confirmation   https://us-cert.cisa.gov/ncas/analysis-reports/ar20-268a,U.S. government,Russian Federation,Espionage,Government,https://us-cert.cisa.gov/ncas/analysis-reports/ar20-268a,https://www.wired.com/story/russias-fancy-bear-hack-us-federal-agency/,
Targeting of U.S. government employees,1/30/2020,APT 34,"The Iranian state-backed hackers sent out sophisticated spear-phishing lures imitating Westat, a research services company, in hopes of compromising U.S. government employees and networks. They could have also intended to compromise actual Westat employees.",,U.S. government employees and possibly Westat employees,Iran (Islamic Republic of),Espionage,"Government, Private sector",https://intezer.com/blog/apt/new-iranian-campaign-tailored-to-us-companies-uses-updated-toolset/,https://www.zdnet.com/article/iranian-hackers-target-us-government-workers-in-new-campaign/,
Targeting of government bodies in Australia and Southeast Asia,5/7/2020,APT 30,"Using a new exploit named Aria-body, APT 30 attempted to compromise networks belonging to governments and state-owned companies in Australia and Southeast Asia.",,,China,Espionage,"Government, Private sector",https://research.checkpoint.com/2020/naikon-apt-cyber-espionage-reloaded/,https://www.nytimes.com/2020/05/07/world/asia/china-hacking-military-aria.html,
"Targeting of websites in Latvia, Lithuania, and Poland",7/29/2020,Ghostwriter,"Hackers targeted websites and email accounts in Latvia, Lithuania, and Poland to publish fabricated documents pushing anti–North Atlantic Treaty Organization (NATO) narratives consistent with Kremlin talking points.",,"Latvia, Lithuania, Poland",Russian Federation,Defacement,Private sector,https://www.fireeye.com/blog/threat-research/2020/07/ghostwriter-influence-campaign.html,https://www.fireeye.com/content/dam/fireeye-www/blog/pdfs/Ghostwriter-Influence-Campaign.pdf,
Phishing with fake coronavirus health advisory,3/16/2020,APT 36,The Pakistani government–aligned threat actor APT 36 used a fake coronavirus health advisory to phish its targets and deliver a RAT.,,Likely Indian government or civil society targets based on past targeting.,Pakistan,Espionage,,https://twitter.com/RedDrip7/status/1237983760802394112,https://blog.malwarebytes.com/threat-analysis/2020/03/apt36-jumps-on-the-coronavirus-bandwagon-delivers-crimson-rat/,
Targeting of CPC Corporation,5/5/2020,Winnti Umbrella,"China-linked Winnti Umbrella launched a ransomware attack against Taiwan’s state oil company, CPC Corporation, causing its website to go offline for one day.",Confirmation   https://www.cyberscoop.com/cpc-ransomware-winnti-taiwan-china/,CPC Corporation,China,Sabotage,Private sector,https://www.cyberscoop.com/cpc-corp-ransomware-attack-taiwan-trend-micro/,https://www.cyberscoop.com/cpc-ransomware-winnti-taiwan-china/,
Targeting of UN officials,8/28/2020,Kimsuky,"North Korean hackers launched a spear-phishing campaign that disguised malware as UN security alerts and interview requests. At least twenty-eight UN officials, eleven of whom represented six members of the UN Security Council, were targeted.",,"UN officials, including those affiliated with the UN Security Council",Korea (Democratic People's Republic of),Espionage,Government,https://undocs.org/S/2020/840,,
Disclosure by Japanese firms of breaches between 2015 and 2018,2/6/2020,"Unknown, suspected Bronze Butler.",The Japanese defense contractors Pasco and Kobe Steel disclosed security breaches that happened between 2015 and 2016 and in May 2018. Kobe steel supplies submarine parts to the Japan Self-Defense Forces and Pasco provides satellite data. Nikkei suspects that Bronze Butler could have been involved.,,Japanese defense contractors,China,Espionage,Private sector,https://www.bleepingcomputer.com/news/security/japanese-defense-contractors-kobe-steel-pasco-disclose-breaches/,https://this.kiji.is/595817375508235361,
