src_port,dst_port,packet_size,protocol,label
3389,443,897,6,Unauthorized Access
3389,443,583,6,Malware Detected
80,21,788,17,DDoS Attack
3389,21,1465,6,Unauthorized Access
443,25,582,17,Brute Force
22,443,514,17,Brute Force
8080,80,1357,6,Malware Detected
80,443,662,17,DDoS Attack
8080,25,850,17,DDoS Attack
80,53,1239,17,Unauthorized Access
22,53,893,17,Malware Detected
22,25,1060,17,Unauthorized Access
8080,443,809,17,DDoS Attack
443,25,523,17,DDoS Attack
80,25,1432,17,Brute Force
443,25,813,6,DDoS Attack
443,21,804,17,DDoS Attack
8080,443,552,6,Unauthorized Access
22,21,1021,6,DDoS Attack
443,80,1419,6,Unauthorized Access
3389,443,711,17,Unauthorized Access
8080,53,1019,17,DDoS Attack
3389,80,1332,6,DDoS Attack
443,53,697,6,DDoS Attack
8080,21,1036,6,Brute Force
3389,80,1436,6,Unauthorized Access
80,25,1399,6,DDoS Attack
8080,80,549,17,Brute Force
80,21,527,17,Malware Detected
443,53,1472,17,Malware Detected
22,443,684,17,Malware Detected
80,53,849,6,Brute Force
3389,25,1175,17,Unauthorized Access
80,53,1134,17,Unauthorized Access
443,53,754,6,Malware Detected
80,443,532,17,Brute Force
443,25,1067,6,DDoS Attack
80,25,534,6,Malware Detected
22,25,758,6,Brute Force
443,80,619,17,DDoS Attack
8080,80,785,17,Unauthorized Access
80,80,962,6,Brute Force
3389,53,542,6,DDoS Attack
3389,53,897,17,Unauthorized Access
443,53,1192,17,Unauthorized Access
80,443,508,17,Malware Detected
8080,21,873,6,DDoS Attack
443,53,1105,17,DDoS Attack
8080,80,756,17,Brute Force
8080,25,862,6,Brute Force
8080,80,780,6,DDoS Attack
8080,21,762,6,Unauthorized Access
80,25,731,17,Unauthorized Access
443,25,1102,17,Malware Detected
443,21,1453,6,Brute Force
80,21,1373,17,Malware Detected
8080,21,1232,17,Brute Force
22,25,1399,17,Unauthorized Access
3389,80,1366,6,Brute Force
80,53,922,17,DDoS Attack
22,443,1477,17,Unauthorized Access
22,25,765,6,Malware Detected
8080,25,641,17,Malware Detected
22,443,992,6,Unauthorized Access
8080,25,885,6,Brute Force
80,443,1444,6,DDoS Attack
8080,443,897,17,Malware Detected
3389,443,1226,6,DDoS Attack
8080,21,720,17,Malware Detected
22,25,1324,17,Malware Detected
8080,21,778,17,Brute Force
3389,80,1357,17,Malware Detected
22,443,752,6,Malware Detected
80,53,947,6,Brute Force
8080,80,1295,6,Brute Force
443,80,507,6,DDoS Attack
80,25,1387,17,Brute Force
80,53,1412,17,DDoS Attack
443,53,1382,6,Brute Force
80,25,540,17,Malware Detected
443,53,805,17,Brute Force
3389,21,855,17,Brute Force
8080,53,515,6,Brute Force
3389,25,926,6,Brute Force
8080,80,1301,6,Unauthorized Access
22,443,1219,17,Brute Force
8080,443,603,6,Malware Detected
443,80,518,6,DDoS Attack
443,25,721,6,Brute Force
443,443,1165,6,Unauthorized Access
3389,80,1227,6,Unauthorized Access
80,53,1039,17,DDoS Attack
22,53,576,17,Brute Force
443,53,520,6,DDoS Attack
8080,53,1297,6,DDoS Attack
80,443,1418,6,Malware Detected
8080,443,912,6,Brute Force
3389,53,1415,6,Unauthorized Access
443,443,1102,6,Malware Detected
8080,25,1320,17,Malware Detected
443,25,802,17,Malware Detected
80,443,780,17,DDoS Attack
80,443,556,17,Brute Force
80,21,1328,6,Brute Force
8080,25,550,17,Brute Force
8080,21,759,17,Malware Detected
8080,25,1074,17,Brute Force
22,443,686,17,DDoS Attack
3389,25,504,6,Brute Force
8080,53,922,6,Malware Detected
80,25,858,6,Brute Force
80,443,572,6,Unauthorized Access
8080,80,1486,6,Unauthorized Access
22,21,1129,17,Brute Force
22,21,1328,6,DDoS Attack
8080,53,1275,6,DDoS Attack
443,53,693,17,Unauthorized Access
80,21,1203,17,DDoS Attack
80,21,1175,17,Brute Force
22,443,709,6,Malware Detected
443,21,1347,17,Unauthorized Access
80,53,623,6,Brute Force
8080,80,672,6,DDoS Attack
3389,25,1183,17,DDoS Attack
8080,443,668,6,Unauthorized Access
443,443,886,6,Brute Force
80,21,1244,6,Malware Detected
80,80,604,6,Malware Detected
8080,443,826,6,DDoS Attack
80,25,597,17,Unauthorized Access
22,25,611,17,Brute Force
443,21,930,17,DDoS Attack
3389,21,709,6,DDoS Attack
22,25,1092,17,DDoS Attack
8080,21,888,17,DDoS Attack
80,53,1159,6,DDoS Attack
80,25,573,6,Malware Detected
80,25,1055,17,Unauthorized Access
3389,53,1122,6,Malware Detected
22,443,1217,17,Unauthorized Access
3389,25,756,6,Malware Detected
443,53,1380,17,Brute Force
8080,21,922,6,Unauthorized Access
443,53,778,6,Brute Force
443,53,1364,6,Brute Force
22,443,897,17,Brute Force
80,53,1076,17,Unauthorized Access
3389,443,949,17,Brute Force
8080,80,1419,6,Brute Force
8080,53,508,17,Malware Detected
3389,21,551,17,Malware Detected
443,80,563,17,Unauthorized Access
80,25,1061,17,Unauthorized Access
8080,25,1356,6,Malware Detected
22,443,784,6,Malware Detected
8080,25,1222,17,Unauthorized Access
80,80,869,6,Brute Force
3389,80,817,6,DDoS Attack
443,80,1366,6,Brute Force
22,53,683,17,DDoS Attack
22,80,630,6,DDoS Attack
443,53,878,17,Malware Detected
3389,80,1356,6,Unauthorized Access
22,21,751,17,Malware Detected
8080,53,1471,6,Malware Detected
443,53,1426,6,Unauthorized Access
80,25,641,17,Brute Force
3389,80,1280,17,Brute Force
80,21,529,17,Brute Force
8080,80,1260,6,Malware Detected
22,53,1078,6,Brute Force
22,21,975,6,Malware Detected
80,53,1234,6,Brute Force
80,80,781,6,Malware Detected
8080,53,1188,17,Brute Force
3389,21,676,17,Brute Force
443,25,591,6,Malware Detected
22,21,514,6,Malware Detected
443,25,1264,6,Unauthorized Access
22,21,910,17,Unauthorized Access
443,25,1117,17,Unauthorized Access
8080,53,1432,17,Brute Force
22,25,1255,6,DDoS Attack
443,443,884,6,Malware Detected
8080,443,1116,17,DDoS Attack
3389,21,1488,17,Brute Force
80,80,568,6,Unauthorized Access
80,21,831,6,DDoS Attack
22,443,899,17,Unauthorized Access
443,21,629,6,DDoS Attack
3389,21,1304,17,Brute Force
8080,25,1007,17,Unauthorized Access
22,443,788,6,Brute Force
22,443,1228,6,Malware Detected
443,25,1435,6,Brute Force
443,80,585,17,Brute Force
3389,25,698,6,Unauthorized Access
443,53,1307,17,Unauthorized Access
8080,80,1031,17,Brute Force
22,25,1324,6,Brute Force
80,80,749,17,DDoS Attack
80,21,501,6,Malware Detected
22,443,1012,17,Brute Force
8080,80,568,6,Brute Force
80,21,1283,17,Brute Force
3389,53,598,17,Unauthorized Access
3389,25,1410,17,Brute Force
8080,53,1462,6,Malware Detected
443,53,1205,6,Malware Detected
443,443,695,6,Malware Detected
80,443,1375,17,Brute Force
22,80,1165,17,Brute Force
80,80,1106,6,Brute Force
8080,53,1212,17,Unauthorized Access
3389,53,553,6,DDoS Attack
80,21,1123,17,DDoS Attack
80,53,1051,17,Brute Force
22,80,1154,6,Unauthorized Access
443,443,1348,17,Brute Force
443,53,1477,6,DDoS Attack
3389,53,1374,6,DDoS Attack
80,21,1026,17,Malware Detected
3389,443,1401,17,Malware Detected
22,53,538,17,Brute Force
8080,80,1485,17,Malware Detected
3389,25,1283,17,Malware Detected
8080,443,1328,17,DDoS Attack
80,21,830,6,Brute Force
80,80,1392,17,Brute Force
80,25,718,6,Brute Force
8080,80,1406,6,DDoS Attack
3389,443,978,17,Brute Force
443,53,996,17,Malware Detected
443,25,587,6,DDoS Attack
3389,80,506,17,Brute Force
22,80,1282,6,DDoS Attack
80,25,577,17,Malware Detected
80,53,1100,6,DDoS Attack
8080,25,1114,17,Malware Detected
3389,80,989,6,DDoS Attack
3389,53,952,6,Unauthorized Access
22,25,749,6,Brute Force
3389,21,1315,17,Brute Force
22,25,853,6,Malware Detected
8080,443,1033,17,Brute Force
80,443,1466,6,Malware Detected
8080,80,1242,6,DDoS Attack
80,53,1303,6,Brute Force
8080,21,1233,6,Malware Detected
443,21,1309,17,Brute Force
22,21,1417,17,Unauthorized Access
8080,21,1469,17,DDoS Attack
8080,25,797,17,Malware Detected
3389,443,1457,17,Malware Detected
80,53,1399,6,Unauthorized Access
8080,53,706,17,DDoS Attack
8080,53,818,17,Brute Force
8080,53,1293,6,Brute Force
80,80,1073,17,DDoS Attack
8080,443,1147,6,Malware Detected
3389,80,678,6,Unauthorized Access
80,443,1439,6,Unauthorized Access
443,80,1090,6,Brute Force
443,25,1497,17,Malware Detected
443,80,898,6,Brute Force
3389,21,956,6,Malware Detected
3389,21,951,17,Unauthorized Access
443,80,873,6,Brute Force
3389,25,577,6,Unauthorized Access
80,80,802,6,Malware Detected
22,21,569,17,Malware Detected
80,25,554,17,Malware Detected
3389,25,873,17,Brute Force
8080,80,722,6,Brute Force
443,25,995,17,Brute Force
8080,53,662,17,Brute Force
22,80,543,17,DDoS Attack
8080,443,1468,6,Unauthorized Access
22,21,871,17,Malware Detected
22,53,585,6,Unauthorized Access
8080,80,1102,17,Malware Detected
3389,21,1210,17,Brute Force
443,443,799,6,Brute Force
80,21,1468,17,Brute Force
443,25,1190,6,DDoS Attack
22,443,1424,17,DDoS Attack
8080,443,1012,17,Malware Detected
80,25,1151,6,DDoS Attack
80,80,1023,17,Brute Force
80,25,1065,17,DDoS Attack
80,443,644,6,Brute Force
3389,80,859,6,DDoS Attack
443,21,1108,6,Unauthorized Access
22,25,641,6,DDoS Attack
80,53,702,6,Brute Force
80,21,1186,17,Malware Detected
3389,443,720,17,Brute Force
22,80,1268,6,Unauthorized Access
3389,21,664,17,DDoS Attack
80,21,1165,6,Malware Detected
8080,21,824,17,DDoS Attack
443,443,595,6,Malware Detected
3389,21,1410,17,Brute Force
443,21,768,6,Unauthorized Access
8080,53,1026,17,DDoS Attack
3389,21,1206,6,Brute Force
443,80,1192,6,Unauthorized Access
8080,53,1124,17,DDoS Attack
443,53,858,17,DDoS Attack
80,80,1106,17,Malware Detected
80,80,1476,17,DDoS Attack
8080,21,724,6,Brute Force
22,53,1418,6,Malware Detected
22,25,1248,6,Brute Force
443,21,746,17,DDoS Attack
22,80,814,6,Unauthorized Access
3389,80,1473,6,Unauthorized Access
443,25,701,6,Brute Force
443,53,1385,17,DDoS Attack
3389,53,1135,17,Malware Detected
22,21,896,6,Malware Detected
22,443,821,17,DDoS Attack
80,53,1219,17,Malware Detected
22,443,656,17,Malware Detected
443,21,671,17,DDoS Attack
443,80,1014,6,Malware Detected
443,443,1187,17,Malware Detected
443,21,895,6,Malware Detected
80,25,696,17,Malware Detected
80,25,1259,17,DDoS Attack
80,443,917,6,Malware Detected
443,80,1363,6,DDoS Attack
8080,80,1459,17,DDoS Attack
443,443,1487,17,DDoS Attack
8080,25,946,17,Unauthorized Access
80,80,1017,17,Malware Detected
80,80,1187,17,DDoS Attack
22,53,534,17,DDoS Attack
443,21,659,17,Malware Detected
443,443,1119,6,DDoS Attack
3389,443,1395,17,DDoS Attack
8080,53,731,17,DDoS Attack
80,25,516,6,Malware Detected
22,443,1295,6,Unauthorized Access
443,21,930,17,Malware Detected
443,53,1466,17,Unauthorized Access
443,25,927,17,Brute Force
22,53,788,6,Brute Force
8080,25,528,17,Unauthorized Access
3389,443,1042,6,DDoS Attack
22,80,821,17,Brute Force
443,21,754,17,DDoS Attack
443,25,1287,6,DDoS Attack
8080,21,1119,17,Malware Detected
443,443,1370,17,DDoS Attack
443,25,609,17,Malware Detected
80,443,1364,6,Malware Detected
443,53,569,17,Unauthorized Access
22,21,511,6,Malware Detected
3389,25,1340,6,Unauthorized Access
22,443,1069,6,Malware Detected
443,25,1189,17,DDoS Attack
80,25,936,6,Brute Force
8080,80,511,17,Brute Force
3389,80,1439,6,Malware Detected
22,25,734,17,Brute Force
80,21,923,6,Unauthorized Access
8080,80,1132,6,Unauthorized Access
443,443,1386,6,Malware Detected
8080,443,685,17,Malware Detected
22,25,751,6,DDoS Attack
443,21,1214,17,Unauthorized Access
80,25,1234,6,Unauthorized Access
80,53,1119,17,DDoS Attack
3389,80,1001,6,Malware Detected
8080,21,1348,17,Malware Detected
22,80,911,6,Brute Force
22,443,1099,6,Unauthorized Access
80,53,732,17,Malware Detected
3389,80,1466,17,Unauthorized Access
22,25,593,17,DDoS Attack
80,21,957,6,DDoS Attack
8080,25,1269,17,Brute Force
80,53,1462,6,Unauthorized Access
443,21,1119,6,Malware Detected
22,443,1446,6,Unauthorized Access
3389,21,718,17,Malware Detected
8080,443,544,6,Unauthorized Access
443,25,1333,17,Brute Force
22,443,506,17,Brute Force
80,443,801,17,DDoS Attack
443,25,832,6,Unauthorized Access
3389,443,535,6,DDoS Attack
80,443,1260,17,Brute Force
3389,21,1055,17,Malware Detected
8080,21,525,6,DDoS Attack
80,443,814,6,Brute Force
8080,25,719,17,Brute Force
80,25,652,17,Brute Force
80,80,659,6,Malware Detected
22,25,870,6,Malware Detected
22,53,567,6,DDoS Attack
80,53,1060,17,Unauthorized Access
22,21,1210,17,DDoS Attack
80,80,1084,6,Brute Force
22,53,888,17,Unauthorized Access
443,53,1070,6,Unauthorized Access
443,443,906,17,Malware Detected
22,53,777,6,Unauthorized Access
3389,80,1059,17,Unauthorized Access
443,443,1445,17,Malware Detected
22,80,1250,17,Malware Detected
8080,53,798,17,DDoS Attack
443,25,538,17,DDoS Attack
8080,21,989,6,DDoS Attack
8080,443,1295,17,Unauthorized Access
22,53,723,17,DDoS Attack
22,80,1074,6,Unauthorized Access
3389,25,968,17,Brute Force
8080,21,876,17,Unauthorized Access
80,25,1293,17,DDoS Attack
22,25,511,17,DDoS Attack
8080,25,996,6,DDoS Attack
22,25,966,6,Unauthorized Access
8080,443,1407,17,Unauthorized Access
22,443,1226,17,Brute Force
443,21,926,6,DDoS Attack
3389,443,980,6,DDoS Attack
443,53,595,17,Unauthorized Access
22,53,1195,6,Malware Detected
80,25,1128,17,DDoS Attack
3389,21,949,17,DDoS Attack
443,25,527,6,Unauthorized Access
80,25,695,6,DDoS Attack
3389,443,843,6,DDoS Attack
80,53,1307,6,Malware Detected
22,25,906,17,DDoS Attack
8080,53,1076,6,Unauthorized Access
80,443,1123,6,DDoS Attack
22,21,1014,17,Brute Force
22,53,535,17,Brute Force
22,25,1219,6,Unauthorized Access
22,443,566,6,Malware Detected
8080,21,731,6,Malware Detected
22,53,1207,6,Unauthorized Access
3389,25,559,17,DDoS Attack
8080,80,1415,17,DDoS Attack
80,25,1251,17,Brute Force
3389,80,1046,17,Unauthorized Access
8080,53,721,6,Brute Force
443,443,957,6,Malware Detected
8080,25,926,17,Unauthorized Access
8080,25,561,17,DDoS Attack
3389,53,1150,6,DDoS Attack
443,53,1454,17,Malware Detected
22,443,1485,6,Unauthorized Access
22,443,642,17,Malware Detected
3389,443,1182,6,Unauthorized Access
443,80,943,17,Brute Force
8080,21,680,6,Malware Detected
22,25,506,17,Malware Detected
80,443,1198,6,Malware Detected
3389,443,883,17,Brute Force
22,53,516,6,Unauthorized Access
80,443,665,17,Malware Detected
443,443,622,17,Malware Detected
22,80,1475,17,DDoS Attack
443,443,1276,6,Brute Force
3389,21,933,6,Unauthorized Access
3389,53,840,6,DDoS Attack
8080,25,547,17,DDoS Attack
3389,21,1383,6,Malware Detected
3389,53,880,6,Brute Force
8080,53,1291,17,Unauthorized Access
22,25,819,17,Brute Force
80,25,876,17,DDoS Attack
22,25,1400,6,Brute Force
3389,80,907,6,Brute Force
8080,443,1496,17,Malware Detected
8080,443,1412,17,Brute Force
80,443,1202,6,DDoS Attack
80,25,867,6,DDoS Attack
22,80,739,17,Brute Force
22,443,1032,17,Brute Force
22,80,954,6,Brute Force
8080,443,1038,6,Unauthorized Access
80,53,910,17,Malware Detected
3389,80,756,17,DDoS Attack
3389,443,1035,17,Unauthorized Access
3389,53,1315,6,DDoS Attack
8080,53,797,17,Malware Detected
443,80,695,6,DDoS Attack
22,443,834,6,Brute Force
3389,25,663,6,Unauthorized Access
22,53,540,17,Unauthorized Access
8080,21,503,17,Malware Detected
8080,25,1483,6,Unauthorized Access
80,53,884,6,Brute Force
443,21,877,17,Unauthorized Access
3389,443,1400,6,DDoS Attack
443,21,1222,6,Malware Detected
443,25,945,17,DDoS Attack
22,80,1270,6,Brute Force
3389,21,1336,6,Unauthorized Access
443,443,716,17,DDoS Attack
22,443,576,6,Malware Detected
443,53,534,17,Unauthorized Access
443,53,1397,6,DDoS Attack
443,80,1331,6,Brute Force
22,443,545,17,Malware Detected
8080,53,887,6,Brute Force
3389,53,1302,6,DDoS Attack
8080,443,816,17,Brute Force
22,53,1074,17,DDoS Attack
22,80,1166,17,Brute Force
3389,443,643,6,DDoS Attack
3389,53,1350,6,Brute Force
3389,21,592,6,Brute Force
8080,80,681,6,Malware Detected
22,25,719,6,Unauthorized Access
8080,80,970,17,Unauthorized Access
8080,21,1208,17,DDoS Attack
22,443,808,6,Unauthorized Access
8080,25,1161,6,Unauthorized Access
3389,443,771,6,Malware Detected
8080,25,523,17,Malware Detected
80,80,1232,6,Malware Detected
443,80,1450,17,Unauthorized Access
80,21,1176,17,Unauthorized Access
22,21,731,17,DDoS Attack
80,21,1323,6,Unauthorized Access
22,21,1039,6,Unauthorized Access
8080,25,1041,6,Unauthorized Access
8080,80,1096,6,DDoS Attack
22,53,1014,6,DDoS Attack
80,25,1421,6,DDoS Attack
22,443,928,6,Malware Detected
80,21,1386,6,Unauthorized Access
8080,443,795,6,DDoS Attack
3389,80,521,6,Brute Force
80,25,1010,6,Brute Force
80,25,1469,17,Malware Detected
22,53,574,6,DDoS Attack
80,80,1130,6,Unauthorized Access
3389,25,1232,17,Malware Detected
443,53,712,17,Brute Force
443,25,1269,6,Brute Force
443,80,691,17,Brute Force
22,25,651,6,Unauthorized Access
8080,25,568,17,Malware Detected
8080,53,637,6,Brute Force
3389,25,1035,6,Malware Detected
8080,80,758,17,Brute Force
443,21,1436,6,Malware Detected
80,53,1187,6,Brute Force
3389,21,1488,6,DDoS Attack
3389,21,734,17,Unauthorized Access
443,25,1001,17,Unauthorized Access
8080,25,1496,17,Unauthorized Access
22,53,1275,17,Unauthorized Access
3389,53,939,17,DDoS Attack
80,80,775,6,Brute Force
8080,25,1467,17,DDoS Attack
443,53,599,17,DDoS Attack
80,53,1309,17,Malware Detected
3389,53,1325,17,Brute Force
22,443,1462,6,Malware Detected
8080,443,1044,17,DDoS Attack
443,443,1371,17,DDoS Attack
8080,80,1045,17,Unauthorized Access
443,53,888,17,Brute Force
80,53,1074,6,Malware Detected
80,53,908,6,Brute Force
80,80,1285,6,Malware Detected
22,80,1102,6,DDoS Attack
443,21,990,6,Unauthorized Access
22,53,1051,17,Malware Detected
443,21,763,17,DDoS Attack
22,21,675,17,DDoS Attack
3389,443,1357,6,Malware Detected
8080,25,1319,6,DDoS Attack
8080,443,861,17,Unauthorized Access
3389,443,1306,17,DDoS Attack
22,53,1050,6,Brute Force
22,80,1055,6,DDoS Attack
80,80,682,17,Brute Force
80,80,1235,17,Unauthorized Access
3389,21,1034,17,Brute Force
8080,443,1181,17,Malware Detected
8080,53,633,6,Malware Detected
22,80,1036,17,Unauthorized Access
22,53,856,17,Unauthorized Access
443,21,1029,6,Brute Force
8080,443,561,17,Brute Force
8080,443,763,6,Unauthorized Access
443,21,1400,17,Unauthorized Access
8080,53,1051,17,Brute Force
3389,80,552,17,Malware Detected
80,21,827,17,Malware Detected
3389,53,854,17,Unauthorized Access
22,80,1333,17,Malware Detected
3389,25,671,6,Malware Detected
8080,53,658,17,DDoS Attack
8080,80,1225,17,Malware Detected
443,53,1014,17,Brute Force
3389,80,1225,6,Malware Detected
80,25,893,6,Unauthorized Access
8080,80,628,6,Malware Detected
3389,21,1237,6,Unauthorized Access
3389,80,624,17,Malware Detected
22,21,1101,17,Unauthorized Access
443,80,1102,6,DDoS Attack
80,21,545,6,DDoS Attack
22,443,1076,6,Brute Force
22,443,981,6,Malware Detected
3389,21,1447,17,Unauthorized Access
22,53,759,6,Brute Force
80,443,904,6,Brute Force
80,25,835,17,Brute Force
443,80,873,17,Malware Detected
3389,53,1441,17,Malware Detected
22,80,1264,17,Malware Detected
3389,443,1264,17,Brute Force
22,25,620,17,DDoS Attack
443,21,1433,17,Brute Force
22,21,1126,17,Unauthorized Access
443,53,772,17,Malware Detected
22,25,847,17,Malware Detected
443,80,899,6,Malware Detected
22,80,897,6,Malware Detected
443,80,1241,17,DDoS Attack
3389,80,1200,17,Brute Force
8080,53,755,6,DDoS Attack
80,21,1082,6,Unauthorized Access
22,25,700,6,Unauthorized Access
80,25,1152,6,Malware Detected
22,80,1482,17,DDoS Attack
443,53,681,17,Unauthorized Access
22,21,1002,17,Malware Detected
22,443,1231,6,Unauthorized Access
8080,443,1334,6,Unauthorized Access
8080,25,1089,6,DDoS Attack
8080,25,952,17,DDoS Attack
80,80,1464,6,Brute Force
3389,443,888,6,DDoS Attack
443,80,731,17,Brute Force
8080,21,1262,6,Malware Detected
8080,53,902,17,Malware Detected
3389,80,1221,17,DDoS Attack
22,53,705,6,Brute Force
3389,80,722,6,DDoS Attack
22,53,1042,17,Unauthorized Access
80,21,1199,17,Unauthorized Access
8080,53,1252,17,DDoS Attack
8080,25,1477,17,Malware Detected
22,21,1492,6,Malware Detected
443,53,1244,17,Malware Detected
22,21,1233,17,Brute Force
22,25,978,6,Unauthorized Access
443,443,1320,17,DDoS Attack
443,80,952,17,Unauthorized Access
3389,80,1257,6,Brute Force
8080,443,1308,17,Unauthorized Access
3389,80,909,6,Unauthorized Access
22,21,811,17,DDoS Attack
80,21,1388,17,DDoS Attack
80,25,1183,17,Unauthorized Access
80,21,505,17,DDoS Attack
3389,25,915,6,Unauthorized Access
80,25,1355,6,Malware Detected
80,53,1413,6,Unauthorized Access
80,80,1060,6,Unauthorized Access
8080,25,1393,17,Malware Detected
22,80,903,17,DDoS Attack
22,443,553,6,Brute Force
443,25,1222,6,DDoS Attack
80,25,628,6,Malware Detected
22,53,729,17,Brute Force
3389,21,612,17,Brute Force
22,21,1023,6,DDoS Attack
443,21,500,6,DDoS Attack
443,443,888,17,DDoS Attack
22,443,670,17,Malware Detected
80,443,805,17,Malware Detected
3389,80,1382,17,Unauthorized Access
80,25,1418,6,Unauthorized Access
80,21,1166,6,DDoS Attack
3389,443,908,17,Unauthorized Access
22,21,518,17,Malware Detected
443,80,1075,6,Unauthorized Access
80,25,1171,17,DDoS Attack
3389,53,1418,17,Malware Detected
3389,53,1463,17,Brute Force
443,443,1311,17,Brute Force
8080,21,1458,6,Brute Force
8080,21,1268,6,Brute Force
22,53,1272,6,Unauthorized Access
80,21,836,6,Unauthorized Access
443,53,939,6,DDoS Attack
443,80,837,17,Brute Force
22,443,954,6,Unauthorized Access
8080,443,1471,17,Malware Detected
3389,80,1156,17,Malware Detected
443,80,526,6,DDoS Attack
80,443,661,17,Unauthorized Access
80,80,930,6,Brute Force
22,443,1133,6,Brute Force
8080,21,1500,17,Brute Force
443,21,1035,17,Unauthorized Access
443,80,925,6,Unauthorized Access
443,25,529,6,Brute Force
443,21,756,17,DDoS Attack
22,53,598,6,Unauthorized Access
443,21,1342,6,Brute Force
3389,443,1128,6,Malware Detected
443,25,1252,17,Unauthorized Access
3389,443,698,6,DDoS Attack
8080,443,1473,17,Unauthorized Access
3389,21,1091,17,Malware Detected
8080,443,1214,17,Brute Force
22,443,1395,17,Brute Force
22,21,837,17,Unauthorized Access
80,53,888,6,Brute Force
80,25,1342,6,Brute Force
8080,21,744,17,Unauthorized Access
8080,25,1220,6,Brute Force
22,25,979,17,Unauthorized Access
3389,80,1457,17,Unauthorized Access
80,25,929,17,Malware Detected
443,25,703,6,Unauthorized Access
8080,25,1467,17,DDoS Attack
8080,443,928,17,Unauthorized Access
22,53,824,6,Unauthorized Access
8080,25,520,17,Unauthorized Access
443,21,1151,6,Unauthorized Access
8080,21,530,6,DDoS Attack
3389,25,664,17,Malware Detected
443,53,1366,17,Unauthorized Access
3389,21,956,6,Unauthorized Access
3389,53,830,6,Malware Detected
8080,53,1221,17,Brute Force
3389,25,1447,17,Unauthorized Access
443,21,1441,17,Brute Force
80,80,799,6,DDoS Attack
8080,80,867,6,DDoS Attack
80,80,756,6,Brute Force
80,25,1392,6,Unauthorized Access
22,80,683,6,Unauthorized Access
22,443,1341,6,Unauthorized Access
80,80,934,6,Brute Force
8080,443,1016,17,Unauthorized Access
8080,80,902,17,Malware Detected
22,53,1205,6,Unauthorized Access
22,80,500,6,DDoS Attack
8080,53,1134,17,Unauthorized Access
22,443,621,6,Unauthorized Access
22,25,775,6,Unauthorized Access
80,25,978,6,Brute Force
443,21,909,6,Malware Detected
22,25,588,6,Malware Detected
22,25,1003,6,DDoS Attack
22,21,1225,6,DDoS Attack
80,53,882,6,Unauthorized Access
3389,443,962,17,Brute Force
8080,443,1025,17,Brute Force
80,53,680,6,Unauthorized Access
443,53,1320,6,Brute Force
3389,443,943,17,DDoS Attack
443,80,1257,6,Brute Force
22,25,984,6,Brute Force
3389,21,898,6,DDoS Attack
443,53,1393,6,Brute Force
80,53,689,6,DDoS Attack
8080,80,1007,6,Brute Force
22,53,1007,17,Brute Force
22,80,1387,17,Unauthorized Access
8080,80,1159,17,Unauthorized Access
8080,53,1407,6,Unauthorized Access
8080,25,1298,6,Brute Force
80,21,1160,17,Malware Detected
8080,80,720,17,Unauthorized Access
80,21,520,17,Brute Force
